Gene	mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	35	77	40	46	64	60
AT1G01020	43	45	32	43	39	49
AT1G01030	16	24	26	27	35	20
AT1G01040	72	43	64	66	25	90
AT1G01050	49	78	90	67	45	60
AT1G01060	0	15	2	0	21	8
AT1G01070	16	34	6	9	20	1
AT1G01080	170	191	382	127	98	184
AT1G01090	291	346	563	171	116	453
AT1G01100	113	125	246	78	27	361
AT1G01110	0	1	1	0	0	0
AT1G01120	228	189	270	147	83	174
AT1G01130	9	11	1	0	2	9
AT1G01140	181	120	142	161	73	134
AT1G01150	0	2	0	0	0	0
AT1G01160	117	125	215	86	46	212
AT1G01170	74	57	82	36	22	29
AT1G01180	46	7	26	24	18	58
AT1G01190	0	3	2	1	2	2
AT1G01200	5	0	2	0	0	0
AT1G01210	178	203	98	205	83	143
AT1G01220	26	49	40	21	15	34
AT1G01225	4	10	6	6	0	3
AT1G01230	72	51	58	70	18	77
AT1G01240	81	89	45	62	24	33
AT1G01250	1	1	5	1	2	2
AT1G01260	15	52	37	33	27	54
AT1G01290	7	16	23	30	5	19
AT1G01300	75	115	232	89	109	224
AT1G01310	0	3	0	0	3	0
AT1G01320	449	590	1421	483	291	966
AT1G01340	28	7	40	40	21	91
AT1G01350	30	22	43	41	10	31
AT1G01355	0	0	0	0	2	0
AT1G01360	13	7	13	8	7	11
AT1G01370	0	0	2	1	2	0
AT1G01380	0	7	4	0	7	1
AT1G01390	8	14	13	7	4	9
AT1G01420	33	37	71	22	12	46
AT1G01430	116	110	152	69	32	83
AT1G01440	34	33	52	32	27	54
AT1G01448	15	16	45	11	3	39
AT1G01450	0	0	1	0	0	0
AT1G01453	0	0	2	0	0	3
AT1G01470	660	562	576	531	592	565
AT1G01480	10	58	15	52	97	88
AT1G01490	318	243	138	241	122	190
AT1G01500	52	40	111	58	21	161
AT1G01510	29	24	38	26	12	64
AT1G01520	0	0	0	0	2	1
AT1G01540	56	77	81	61	28	89
AT1G01550	318	194	736	519	231	1064
AT1G01560	16	15	56	39	58	88
AT1G01570	5	1	4	3	0	0
AT1G01580	9	1	0	0	6	0
AT1G01590	0	81	4	4	47	3
AT1G01600	3	14	3	8	26	4
AT1G01610	248	351	487	178	98	326
AT1G01620	533	429	489	183	116	299
AT1G01630	69	59	133	87	42	105
AT1G01640	3	6	11	8	6	12
AT1G01650	178	118	188	193	98	297
AT1G01660	9	21	8	2	4	10
AT1G01670	10	7	7	13	1	10
AT1G01680	38	12	66	39	14	33
AT1G01690	0	12	10	5	3	1
AT1G01695	1	2	0	0	0	0
AT1G01700	0	0	2	1	0	4
AT1G01710	41	47	87	38	42	96
AT1G01720	213	217	113	261	141	199
AT1G01725	10	15	19	18	5	22
AT1G01730	50	43	45	86	53	108
AT1G01740	6	9	10	5	2	4
AT1G01750	1	0	0	2	0	2
AT1G01760	0	0	9	2	0	4
AT1G01770	13	36	49	22	22	45
AT1G01780	19	71	41	19	38	25
AT1G01790	105	83	166	117	45	141
AT1G01800	60	42	93	48	23	64
AT1G01810	4	2	4	6	8	5
AT1G01820	103	104	174	173	104	236
AT1G01830	30	41	24	12	3	12
AT1G01840	1	11	4	0	1	4
AT1G01860	28	15	320	16	4	136
AT1G01880	3	2	2	1	2	0
AT1G01900	14	32	56	15	12	21
AT1G01910	74	59	189	106	29	202
AT1G01920	7	4	17	21	11	25
AT1G01930	39	34	21	40	21	30
AT1G01940	5	4	25	30	10	26
AT1G01950	8	8	19	16	10	27
AT1G01960	69	58	160	93	73	240
AT1G01970	64	35	48	44	25	37
AT1G01990	80	145	195	103	86	200
AT1G02000	11	24	74	43	37	89
AT1G02010	10	24	18	2	11	22
AT1G02020	62	58	132	62	64	133
AT1G02030	2	8	0	1	16	1
AT1G02040	0	0	0	0	3	0
AT1G02050	0	0	5	2	3	8
AT1G02060	0	1	5	7	0	14
AT1G02065	0	12	3	4	6	3
AT1G02080	112	98	175	145	133	290
AT1G02090	114	147	212	191	68	304
AT1G02100	40	41	48	56	22	46
AT1G02110	42	28	71	27	19	52
AT1G02120	752	789	719	989	300	1325
AT1G02130	55	62	147	46	50	123
AT1G02140	166	165	398	202	89	349
AT1G02145	42	24	29	18	18	29
AT1G02150	76	74	203	59	32	160
AT1G02160	91	72	36	58	22	42
AT1G02170	244	199	299	333	196	629
AT1G02180	4	1	20	1	4	3
AT1G02190	9	4	4	3	11	2
AT1G02205	401	479	1014	360	190	394
AT1G02210	0	9	0	0	0	0
AT1G02220	17	19	21	23	27	15
AT1G02230	4	2	2	8	0	8
AT1G02260	7	37	39	12	24	33
AT1G02270	75	113	281	116	97	260
AT1G02280	31	57	65	45	15	23
AT1G02290	23	7	23	2	4	22
AT1G02300	67	83	58	24	16	40
AT1G02305	161	167	196	167	66	156
AT1G02310	0	0	2	1	0	3
AT1G02330	44	44	53	39	30	59
AT1G02335	18	5	17	23	21	24
AT1G02340	8	2	0	1	7	0
AT1G02350	0	16	0	1	2	0
AT1G02360	13	13	27	85	92	319
AT1G02370	4	8	5	4	0	10
AT1G02380	5	3	3	4	1	1
AT1G02390	24	31	132	23	50	111
AT1G02391	0	4	0	0	0	0
AT1G02400	29	23	34	51	89	118
AT1G02405	11	11	13	9	19	20
AT1G02410	33	40	38	22	17	28
AT1G02420	7	9	5	4	3	2
AT1G02430	0	0	3	8	3	14
AT1G02440	0	0	2	1	0	5
AT1G02450	66	38	82	181	61	56
AT1G02460	26	47	118	87	54	197
AT1G02470	2	0	6	11	3	1
AT1G02475	476	405	515	458	331	470
AT1G02500	487	354	2545	964	481	5054
AT1G02510	0	0	0	0	6	0
AT1G02520	0	4	3	15	25	9
AT1G02530	0	0	0	0	2	0
AT1G02540	0	0	0	1	0	0
AT1G02550	0	0	1	0	8	0
AT1G02560	323	252	646	233	129	487
AT1G02570	0	19	0	4	10	3
AT1G02580	0	22	0	0	9	1
AT1G02590	0	0	0	1	1	0
AT1G02610	27	13	5	4	4	9
AT1G02620	6	5	3	0	1	8
AT1G02640	5	6	3	2	1	5
AT1G02650	0	1	0	2	3	10
AT1G02660	63	16	15	36	28	41
AT1G02670	0	12	0	2	0	0
AT1G02680	20	26	147	20	23	167
AT1G02681	0	0	0	0	1	0
AT1G02690	2	34	9	6	19	2
AT1G02700	0	1	1	0	0	3
AT1G02710	4	31	31	24	18	34
AT1G02720	39	51	113	50	56	78
AT1G02730	6	0	5	3	0	3
AT1G02740	3	5	22	6	24	30
AT1G02750	13	6	35	30	16	26
AT1G02770	0	10	0	0	0	0
AT1G02780	706	628	978	693	292	1761
AT1G02790	0	9	2	0	27	1
AT1G02800	0	5	1	0	2	0
AT1G02813	0	2	1	0	1	1
AT1G02816	30	23	20	34	30	29
AT1G02820	19	16	61	10	8	31
AT1G02840	64	63	115	93	41	184
AT1G02850	25	28	29	21	7	32
AT1G02860	14	30	12	12	13	16
AT1G02870	25	25	40	13	18	46
AT1G02880	30	29	40	20	21	51
AT1G02890	102	138	181	162	99	209
AT1G02900	4	0	1	0	1	3
AT1G02910	73	56	167	54	14	212
AT1G02920	203	145	473	1837	978	4460
AT1G02930	1120	762	1341	4293	3561	7372
AT1G02940	0	8	5	0	1	7
AT1G02950	15	14	4	5	1	4
AT1G02960	24	9	14	23	4	10
AT1G02970	1	4	2	2	4	0
AT1G02980	0	7	0	2	4	0
AT1G02990	36	40	37	37	21	39
AT1G03000	34	30	33	24	26	53
AT1G03010	0	3	1	0	0	0
AT1G03020	0	2	2	0	2	2
AT1G03022	0	0	0	0	3	0
AT1G03030	22	10	44	34	29	59
AT1G03040	118	93	299	185	94	317
AT1G03050	0	15	1	0	4	1
AT1G03055	4	34	13	7	1	5
AT1G03060	40	51	64	91	30	144
AT1G03070	8	0	0	2	0	0
AT1G03080	210	184	137	226	149	223
AT1G03090	22	15	34	25	9	37
AT1G03100	6	0	3	1	7	4
AT1G03103	0	0	0	0	6	0
AT1G03106	0	5	0	0	2	0
AT1G03110	19	11	10	1	7	11
AT1G03120	0	0	1	0	0	1
AT1G03130	6676	4034	8412	5594	3771	7431
AT1G03140	100	86	84	142	52	126
AT1G03150	29	22	27	41	13	60
AT1G03160	80	92	251	91	55	221
AT1G03170	0	20	1	0	5	0
AT1G03180	0	4	6	3	1	4
AT1G03190	7	14	23	12	9	34
AT1G03200	7	1	11	3	11	13
AT1G03210	53	12	59	34	13	66
AT1G03220	375	288	174	312	288	819
AT1G03230	86	62	122	102	95	210
AT1G03250	50	26	54	53	27	57
AT1G03260	7	16	43	18	7	49
AT1G03270	1	2	2	0	1	1
AT1G03280	70	47	34	58	49	45
AT1G03290	92	54	100	141	56	142
AT1G03300	5	2	4	0	0	1
AT1G03310	62	64	87	25	27	34
AT1G03320	1	0	0	0	5	0
AT1G03330	28	25	34	50	16	36
AT1G03340	2	2	5	14	4	3
AT1G03350	77	98	99	77	34	129
AT1G03360	4	2	11	8	6	18
AT1G03370	163	94	167	289	89	370
AT1G03380	71	50	86	63	42	101
AT1G03390	0	3	0	0	0	0
AT1G03400	52	31	287	91	39	302
AT1G03410	8	6	8	7	8	9
AT1G03420	0	0	1	0	0	0
AT1G03430	45	44	46	18	8	38
AT1G03440	33	19	58	18	15	44
AT1G03445	0	0	1	0	0	0
AT1G03457	6	6	1	0	7	8
AT1G03470	1	10	3	12	4	3
AT1G03475	414	485	718	446	182	691
AT1G03490	0	4	0	0	8	0
AT1G03495	0	3	7	1	4	10
AT1G03502	0	8	0	1	3	1
AT1G03506	0	0	0	2	0	0
AT1G03510	1	10	9	2	3	3
AT1G03520	16	23	27	21	12	20
AT1G03530	44	85	73	52	25	128
AT1G03540	0	0	5	0	1	6
AT1G03550	8	17	20	8	7	16
AT1G03560	14	16	14	5	0	15
AT1G03580	0	0	1	2	0	0
AT1G03590	73	34	35	51	43	47
AT1G03600	1631	1261	5837	1621	1062	2449
AT1G03610	122	104	67	164	130	134
AT1G03620	6	0	1	1	8	0
AT1G03630	198	167	922	119	49	338
AT1G03650	9	1	6	7	1	7
AT1G03660	4	0	0	0	0	0
AT1G03680	774	815	841	518	298	608
AT1G03687	14	2	20	4	0	13
AT1G03700	0	0	0	0	2	1
AT1G03710	0	0	0	2	1	0
AT1G03730	18	24	36	41	37	53
AT1G03740	87	67	145	187	96	266
AT1G03746	0	0	0	0	2	0
AT1G03750	23	20	25	10	12	19
AT1G03760	17	24	26	29	3	38
AT1G03770	7	1	7	6	8	15
AT1G03780	0	0	1	3	6	0
AT1G03790	0	12	1	2	15	1
AT1G03800	0	0	0	0	0	1
AT1G03820	5	20	12	4	7	0
AT1G03830	7	32	12	9	18	8
AT1G03840	3	1	3	2	1	4
AT1G03850	85	30	70	160	34	180
AT1G03860	56	39	182	140	87	234
