idRefSeq	N8	T8	N33	T33	N51	T51
NM_182502	2592	3	7805	321	3372	9
NM_003280	1684	0	1787	7	4894	559
NM_152381	9915	15	10396	48	23309	7181
NM_022438	2496	2	3585	239	1596	7
NM_001100112	4389	7	7944	16	9262	1818
NM_017534	4402	7	7943	16	9244	1815
NM_002371	2697	3	3941	265	1750	8
NM_001231	519	0	857	3	833	83
NM_001010909	4160	7	3425	516	1720	5
NM_022440	2073	1	2937	96	1351	7
NM_022439	2274	2	3293	122	1505	8
NM_016190	24146	49	22026	2353	12480	26
NM_002465	4809	10	4146	14	15623	1311
NM_206819	4804	10	4137	14	15594	1310
NM_206821	4762	10	4110	14	15391	1301
NM_206820	4765	10	4115	14	15408	1302
NM_001079810	1834	3	2018	15	4911	1482
NM_014332	406	0	688	3	2347	318
NM_005181	1840	1	4180	35	552	72
NM_198060	3741	4	1990	17	12531	1829
NM_006175	3708	4	1980	17	12438	1817
NM_000257	3118	8	3767	21	4001	724
NM_032578	679	1	656	3	3256	321
NM_203378	4114	6	6544	59	11279	1487
NM_203377	4064	6	6496	59	11227	1472
NM_005368	4210	6	6700	61	11738	1532
NM_001100	3334	8	3198	32	13643	1063
NM_003063	532	1	1022	6	1384	200
NM_001122853	257	0	223	1	559	83
NM_133371	247	0	212	1	531	82
NM_207163	449	1	1032	4	2138	272
NM_032546	221	0	122	0	958	81
NM_187841	219	0	119	0	957	79
NM_133432	250473	913	159874	2383	1285719	146074
NM_133437	250494	913	159876	2384	1285686	146088
NM_003319	250461	913	159869	2383	1285565	146070
NM_015848	5919	26	1902	160	285	6
NM_145244	432	1	935	6	1005	227
NM_014391	1207	4	790	11	4508	743
NM_002272	76461	353	99082	20651	47411	31
NM_133378	328503	1204	206612	3178	1675945	191624
NM_198274	490	0	511	7	1419	149
NM_003476	636	2	673	8	4733	424
NM_153235	393	0	371	5	1848	211
NM_181839	318	0	412	6	1400	131
NM_006823	318	0	414	6	1401	134
NM_014424	608	2	579	2	2871	397
NM_002612	1992	9	356	43	8449	273
NM_007078	1492	3	1297	26	2742	228
NM_001976	1092	4	1292	74	4841	223
NM_053013	1085	4	1287	74	4832	223
NM_006890	186	0	108	12	308	0
NM_005609	1399	22	1267	16	2171	103
NM_001099736	358	1	366	7	1666	97
NM_001825	358	1	366	7	1665	97
NM_133379	44904	249	28732	470	235154	25868
NM_001099735	357	1	366	7	1665	97
NM_014440	367	10	1824	45	802	1
NM_006063	4325	24	3115	17	16007	1461
NM_002274	393738	2291	359600	106047	211895	1833
NM_153490	393801	2291	359693	106059	211919	1833
NM_002469	168	0	157	0	1004	130
NM_001080426	336	1	262	2	1600	202
NM_001122965	894	1	693	18	675	81
NM_001111285	100	11	107	2	1010	38
NM_006073	1326	7	1785	9	4646	637
NM_144617	2207	11	1496	44	3597	325
NM_004533	966	11	486	6	8045	457
NM_173167	329	0	381	11	1751	145
NM_001033576	329	0	381	11	1751	145
NM_001080115	432	1	351	10	834	63
NM_199459	333	1	220	6	975	167
NM_153020	287	1	370	5	1254	200
NM_001080114	1616	11	1411	20	2839	230
NM_198271	399	2	396	0	1138	140
NM_013353	149	0	115	3	629	76
NM_057088	1069	7	3774	358	885	5
NM_001103	1460	10	1495	24	6789	785
NM_001040709	234	0	171	5	734	80
NM_177531	50	0	51	0	192	11
NM_001712	394	2	220	88	278	13
NM_001024912	392	2	220	87	277	13
NM_016300	302	0	194	6	738	96
NM_001159	252	1	117	45	2019	56
NM_007191	80	41	208	7	76	2
NM_001460	887	4	2007	157	1175	75
NM_001858	78	5	928	10	765	49
NM_173629	233	1	214	28	237	0
NM_015429	348	2	322	31	2763	104
NM_004543	33001	284	29456	305	126265	18235
NM_004734	166	0	375	38	2033	136
NM_002016	343	91	3180	134	713	0
NM_003275	220	1	254	2	1733	221
NM_080874	424	0	489	20	4276	380
NM_001039585	455	7	287	12	1736	46
NM_004997	257	34	545	16	7098	489
NM_000959	455	7	283	12	1735	45
NM_194293	1177	6	474	21	2844	442
NM_000069	423	3	684	8	1813	216
NM_001080116	564	9	480	4	975	67
NM_152393	105	0	142	1	538	75
NM_004320	988	25	1558	52	2285	161
NM_173201	978	25	1552	52	2265	161
NM_138430	149	0	169	7	163	58
NM_001927	9583	91	6706	142	83497	6658
NM_002036	582	5	94	21	1053	52
NM_006025	582	5	868	73	456	28
NM_001232	561	5	949	23	3772	599
NM_000347	2275	31	824	43	12290	876
NM_001024858	2958	31	999	131	15499	1121
NM_172113	208	0	149	7	126	51
NM_152451	270	8	732	36	489	35
NM_172111	209	0	144	7	124	52
NM_002084	1756	19	1481	160	4981	253
NM_172112	209	0	143	7	124	51
